n,p,missing_residue,N_plus,N_minus,N_zero,expected_plus,expected_minus,gap,theorem_holds
2,3,1,0,1,1,0,1,1,True
3,5,4,1,2,1,1,2,1,True
4,7,2,2,3,1,2,3,1,True
6,11,3,4,5,1,4,5,1,True
7,13,10,5,6,1,5,6,1,True
9,17,13,7,8,1,7,8,1,True
10,19,5,8,9,1,8,9,1,True
12,23,6,10,11,1,10,11,1,True
15,29,22,13,14,1,13,14,1,True
16,31,8,14,15,1,14,15,1,True
19,37,28,17,18,1,17,18,1,True
21,41,31,19,20,1,19,20,1,True
22,43,11,20,21,1,20,21,1,True
24,47,12,22,23,1,22,23,1,True
27,53,40,25,26,1,25,26,1,True
30,59,15,28,29,1,28,29,1,True
31,61,46,29,30,1,29,30,1,True
34,67,17,32,33,1,32,33,1,True
36,71,18,34,35,1,34,35,1,True
37,73,55,35,36,1,35,36,1,True
40,79,20,38,39,1,38,39,1,True
42,83,21,40,41,1,40,41,1,True
45,89,67,43,44,1,43,44,1,True
49,97,73,47,48,1,47,48,1,True
51,101,76,49,50,1,49,50,1,True
52,103,26,50,51,1,50,51,1,True
54,107,27,52,53,1,52,53,1,True
55,109,82,53,54,1,53,54,1,True
57,113,85,55,56,1,55,56,1,True
64,127,32,62,63,1,62,63,1,True
66,131,33,64,65,1,64,65,1,True
69,137,103,67,68,1,67,68,1,True
70,139,35,68,69,1,68,69,1,True
75,149,112,73,74,1,73,74,1,True
76,151,38,74,75,1,74,75,1,True
79,157,118,77,78,1,77,78,1,True
82,163,41,80,81,1,80,81,1,True
84,167,42,82,83,1,82,83,1,True
87,173,130,85,86,1,85,86,1,True
90,179,45,88,89,1,88,89,1,True
91,181,136,89,90,1,89,90,1,True
96,191,48,94,95,1,94,95,1,True
97,193,145,95,96,1,95,96,1,True
99,197,148,97,98,1,97,98,1,True
100,199,50,98,99,1,98,99,1,True
106,211,53,104,105,1,104,105,1,True
112,223,56,110,111,1,110,111,1,True
114,227,57,112,113,1,112,113,1,True
115,229,172,113,114,1,113,114,1,True
117,233,175,115,116,1,115,116,1,True
120,239,60,118,119,1,118,119,1,True
121,241,181,119,120,1,119,120,1,True
126,251,63,124,125,1,124,125,1,True
129,257,193,127,128,1,127,128,1,True
132,263,66,130,131,1,130,131,1,True
135,269,202,133,134,1,133,134,1,True
136,271,68,134,135,1,134,135,1,True
139,277,208,137,138,1,137,138,1,True
141,281,211,139,140,1,139,140,1,True
142,283,71,140,141,1,140,141,1,True
147,293,220,145,146,1,145,146,1,True
154,307,77,152,153,1,152,153,1,True
156,311,78,154,155,1,154,155,1,True
157,313,235,155,156,1,155,156,1,True
159,317,238,157,158,1,157,158,1,True
166,331,83,164,165,1,164,165,1,True
169,337,253,167,168,1,167,168,1,True
174,347,87,172,173,1,172,173,1,True
175,349,262,173,174,1,173,174,1,True
177,353,265,175,176,1,175,176,1,True
180,359,90,178,179,1,178,179,1,True
184,367,92,182,183,1,182,183,1,True
187,373,280,185,186,1,185,186,1,True
190,379,95,188,189,1,188,189,1,True
192,383,96,190,191,1,190,191,1,True
195,389,292,193,194,1,193,194,1,True
199,397,298,197,198,1,197,198,1,True
201,401,301,199,200,1,199,200,1,True
205,409,307,203,204,1,203,204,1,True
210,419,105,208,209,1,208,209,1,True
211,421,316,209,210,1,209,210,1,True
216,431,108,214,215,1,214,215,1,True
217,433,325,215,216,1,215,216,1,True
220,439,110,218,219,1,218,219,1,True
222,443,111,220,221,1,220,221,1,True
225,449,337,223,224,1,223,224,1,True
229,457,343,227,228,1,227,228,1,True
231,461,346,229,230,1,229,230,1,True
232,463,116,230,231,1,230,231,1,True
234,467,117,232,233,1,232,233,1,True
240,479,120,238,239,1,238,239,1,True
244,487,122,242,243,1,242,243,1,True
246,491,123,244,245,1,244,245,1,True
250,499,125,248,249,1,248,249,1,True
252,503,126,250,251,1,250,251,1,True
255,509,382,253,254,1,253,254,1,True
